timestamp,repetition,size_bytes,min_us,max_us,avg_us,std_dev,avg_buffer_setup,avg_wr_setup,avg_poll,window_init,rvsocket_setup
18:02:45.105,21,1048576,41.692,48.480,43.171,0.874,42.927,0.038,36.138,216.550,8.769

18:02:49.262,22,1,11.990,47.790,13.364,1.513,13.036,0.049,2164.394,212.000,8.503
18:02:51.416,22,4,12.060,20.870,13.796,0.882,13.465,0.050,1.388,215.120,9.861
18:02:53.564,22,16,8.315,15.167,9.134,0.565,8.919,0.033,0.928,212.610,7.983
18:02:55.711,22,64,8.218,13.853,9.018,0.547,8.796,0.033,1.291,211.220,7.860
18:03:00.001,22,256,12.510,58.440,13.872,1.697,13.544,0.049,2165.087,207.200,8.218
18:03:02.154,22,1024,12.400,20.660,13.706,0.881,13.376,0.049,2.119,213.990,8.115
18:03:06.445,22,4096,12.780,52.640,14.190,1.552,13.847,0.066,2165.532,213.510,8.340
18:03:08.600,22,16384,13.270,21.390,14.655,0.940,14.330,0.050,3.335,214.230,8.320
18:03:10.754,22,65536,15.480,24.550,16.778,0.890,16.461,0.049,7.513,210.810,8.657
18:03:12.924,22,262144,24.890,33.730,26.242,0.985,25.911,0.049,16.772,214.660,8.401
18:03:15.167,22,1048576,62.550,75.210,65.403,1.360,65.030,0.059,53.673,222.000,8.493

18:03:19.327,23,1,11.190,50.320,12.493,1.556,12.158,0.049,2164.681,210.600,9.330
18:03:21.482,23,4,11.840,23.320,13.755,0.836,13.423,0.049,1.396,223.240,8.187
18:03:25.770,23,16,12.620,48.970,13.922,1.501,13.597,0.050,2164.358,216.090,8.320
18:03:27.923,23,64,11.940,20.730,13.235,0.849,12.914,0.054,1.985,211.190,8.065
18:03:32.213,23,256,12.250,55.880,13.593,1.640,13.258,0.049,2165.148,216.830,9.024
18:03:34.367,23,1024,12.170,20.530,13.435,0.863,13.095,0.055,2.159,210.670,8.422
18:03:38.657,23,4096,12.820,48.280,13.826,1.385,13.492,0.049,2165.577,210.690,8.892
18:03:40.811,23,16384,13.360,21.400,14.299,0.818,13.971,0.051,3.631,214.770,8.157
18:03:42.966,23,65536,15.470,22.200,16.768,0.854,16.452,0.050,7.464,212.560,8.157
18:03:45.138,23,262144,24.860,32.720,25.983,0.963,25.663,0.050,17.469,212.240,9.565
18:03:47.381,23,1048576,62.630,73.570,65.370,1.390,64.988,0.057,54.874,220.920,8.381

18:03:51.540,24,1,11.750,50.510,13.748,1.523,13.411,0.049,2164.283,212.780,9.045
18:03:53.693,24,4,12.440,21.320,13.655,0.853,13.329,0.049,1.382,212.490,9.218
18:03:57.982,24,16,12.570,49.250,13.723,1.484,13.392,0.050,2164.505,213.630,7.993
18:04:00.135,24,64,11.110,19.870,12.323,0.840,12.001,0.049,1.985,217.130,9.392
18:04:04.423,24,256,11.100,58.140,12.433,1.726,12.099,0.049,2165.504,214.800,9.749
18:04:06.578,24,1024,12.560,22.670,13.844,0.873,13.510,0.050,2.117,216.320,8.258
18:04:10.867,24,4096,11.290,48.130,12.611,1.438,12.273,0.049,2165.965,213.680,7.942
18:04:13.024,24,16384,12.760,21.830,14.064,0.905,13.743,0.050,3.633,207.290,8.085
18:04:15.178,24,65536,15.370,25.320,16.701,0.888,16.386,0.049,7.541,213.260,8.044
18:04:17.349,24,262144,24.690,35.400,26.271,1.033,25.945,0.049,17.026,220.470,8.116
18:04:19.593,24,1048576,62.350,71.840,64.799,1.275,64.431,0.060,54.724,203.750,7.677

18:04:23.751,25,1,12.520,48.820,13.545,1.460,13.213,0.049,2164.383,215.390,8.697
18:04:25.906,25,4,11.520,37.040,13.781,1.282,13.451,0.050,1.393,217.110,8.851
18:04:30.194,25,16,11.020,49.350,12.316,1.521,11.987,0.049,2164.857,212.430,7.605
18:04:32.349,25,64,11.910,20.990,13.801,0.824,13.471,0.049,1.977,218.280,8.545
18:04:36.637,25,256,12.000,54.550,13.167,1.585,12.843,0.050,2165.423,211.220,7.748
18:04:38.790,25,1024,12.160,22.500,13.464,0.911,13.122,0.050,2.143,212.030,8.167
18:04:43.081,25,4096,12.710,54.820,14.152,1.656,13.813,0.050,2165.458,212.290,7.799
18:04:45.236,25,16384,11.790,20.530,13.112,0.970,12.786,0.050,3.359,213.080,7.799
18:04:47.391,25,65536,15.520,27.880,16.883,0.962,16.560,0.050,7.422,213.130,8.065
18:04:49.562,25,262144,24.850,31.610,26.215,0.907,25.889,0.050,17.421,221.700,8.973
18:04:51.806,25,1048576,62.870,72.800,65.297,1.324,64.925,0.052,54.689,219.350,8.014

18:04:55.963,26,1,11.490,48.620,13.810,1.431,13.476,0.050,2164.280,216.970,8.095
18:04:58.118,26,4,12.530,20.540,13.739,0.820,13.418,0.049,1.362,215.040,8.534
18:05:02.406,26,16,10.950,53.170,13.632,1.571,13.302,0.049,2164.497,215.930,8.391
18:05:04.560,26,64,12.070,19.910,13.276,0.824,12.945,0.049,1.959,209.840,7.707
